file	url	status
001-beedrill-v-std.png	https://cdn.malie.io/file/malie-io/art/foils/png/en_US/SWSH/SWSH10-ASR/en_US-SWSH10-001-beedrill_v-std.png	reference-only
002-hisuian-voltorb-ph.png	https://cdn.malie.io/file/malie-io/art/foils/png/en_US/SWSH/SWSH10-ASR/en_US-SWSH10-002-hisuian_voltorb-ph.png	reference-only
003-hisuian-electrode-ph.png	https://cdn.malie.io/file/malie-io/art/foils/png/en_US/SWSH/SWSH10-ASR/en_US-SWSH10-003-hisuian_electrode-ph.png	reference-only
